Geneid	SRR1039513	SRR1039512	SRR1039508	SRR1039509
DDX11L1	2	4	3	0
WASH7P	37	56	38	40
MIR6859-1	1	0	0	0
MIR1302-2HG	4	5	2	2
MIR1302-2	0	0	0	0
FAM138A	0	5	0	2
OR4G4P	0	0	0	0
OR4G11P	0	0	0	0
OR4F5	0	0	0	0
AL627309.1	2	6	0	0
AL627309.3	0	0	0	0
CICP27	0	0	0	0
AL627309.6	0	2	0	0
AL627309.7	0	0	0	0
AL627309.2	0	1	0	0
AL627309.5	1	4	2	2
RNU6-1100P	0	0	0	0
AL627309.4	0	0	0	0
FO538757.2	0	0	0	0
FO538757.1	34	60	49	45
MIR6859-2	0	0	0	0
AP006222.1	34	98	120	56
RPL23AP24	3	6	10	11
AL732372.1	0	0	1	0
AL732372.2	2	8	0	3
WBP1LP7	0	0	0	0
OR4F29	0	0	0	0
CICP7	0	0	0	0
AL732372.3	1	1	0	0
RF00026	0	0	0	0
AL669831.3	0	0	2	0
AC114498.1	0	0	1	0
MTND1P23	1268	1556	1036	1302
MTND2P28	4833	6260	4524	4471
MTCO1P12	25164	38846	30747	30921
MIR6723	0	0	0	0
MTCO2P12	4980	7812	3369	4425
MTATP8P1	770	1111	640	704
MTATP6P1	7929	10824	7681	8122
MTCO3P12	5615	5939	6217	6941
WBP1LP6	0	0	0	0
OR4F16	0	0	0	0
CICP3	0	0	0	0
AL669831.1	12	10	24	16
RNU6-1199P	0	0	0	0
AL669831.2	0	0	0	0
AL669831.5	14	0	21	27
AL669831.7	0	0	0	0
AL669831.4	1	0	8	2
FAM87B	0	0	0	0
LINC01128	45	0	43	50
LINC00115	11	0	10	0
FAM41C	0	0	2	0
TUBB8P11	3	0	9	4
AL669831.6	0	0	0	0
AL645608.7	0	0	0	0
AL645608.3	0	0	1	0
AL645608.5	0	0	0	0
AL645608.1	0	0	6	0
SAMD11	0	0	34	8
NOC2L	107	1	187	205
KLHL17	18	0	77	42
PLEKHN1	0	0	4	2
PERM1	0	0	0	0
AL645608.8	0	0	0	0
HES4	0	0	10	11
ISG15	14	0	59	53
AL645608.4	36	0	58	47
AL645608.2	0	0	1	0
AGRN	184	0	434	298
AL645608.6	0	0	0	0
AL390719.1	0	0	0	1
AL645608.9	0	0	0	0
RNF223	0	0	0	0
C1orf159	15	0	30	12
LINC01342	0	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
AL390719.2	0	0	0	0
TTLL10-AS1	0	0	0	0
TTLL10	0	0	0	0
TNFRSF18	0	0	0	0
TNFRSF4	0	0	0	0
SDF4	544	0	802	852
B3GALT6	32	0	86	82
C1QTNF12	0	0	4	0
AL162741.1	4	0	0	0
UBE2J2	83	0	107	95
LINC01786	1	0	2	1
SCNN1D	16	0	26	13
ACAP3	84	0	330	227
MIR6726	0	0	0	0
PUSL1	14	0	35	25
INTS11	118	0	258	194
MIR6727	0	0	0	0
AL139287.1	4	0	2	4
CPTP	48	0	69	50
TAS1R3	0	0	5	0
DVL1	120	0	209	211
MIR6808	0	0	0	0
MXRA8	1368	1	2088	1979
AURKAIP1	72	0	150	129
NDUFB4P8	0	0	0	0
CCNL2	563	0	793	810
AL391244.1	24	0	40	52
MRPL20	68	0	87	108
RN7SL657P	0	0	0	0
AL391244.3	25	0	30	15
ANKRD65	2	0	7	16
AL391244.2	0	0	0	0
TMEM88B	0	0	0	0
LINC01770	0	0	0	0
VWA1	10	0	30	20
ATAD3C	0	0	2	3
ATAD3B	32	0	43	37
AL645728.2	0	0	0	4
ATAD3A	26	0	27	50
TMEM240	8	0	14	12
SSU72	265	0	334	354
AL645728.1	3	0	0	0
AL691432.3	0	0	0	0
FNDC10	5	0	38	22
AL691432.2	14	0	14	0
MIB2	60	0	208	161
MMP23B	0	0	0	2
CDK11B	86	0	115	117
FO704657.1	0	0	0	0
SLC35E2B	154	0	291	170
AL691432.1	2	0	6	7
MMP23A	0	0	0	0
CDK11A	3	0	4	10
AL031282.2	6	0	7	8
AL031282.1	1	0	1	0
SLC35E2A	30	1	116	72
NADK	192	0	191	284
GNB1	1026	0	1363	1175
AL109917.1	2	0	0	0
CALML6	6	0	2	4
TMEM52	0	0	0	0
CFAP74	2	0	1	3
AL391845.2	0	0	0	0
GABRD	2	0	2	1
AL391845.1	0	0	0	0
PRKCZ	4	0	0	4
AL590822.2	0	0	0	0
PRKCZ-AS1	2	0	1	4
FAAP20	69	0	116	133
AL590822.1	0	0	0	0
SKI	235	0	401	346
MORN1	8	0	8	11
AL589739.1	0	0	0	0
AL513477.1	10	0	8	5
AL513477.2	0	0	0	0
RER1	234	0	303	422
PEX10	17	0	38	22
PLCH2	0	0	0	0
AL139246.1	0	0	0	0
AL139246.4	2	0	0	0
PANK4	22	0	49	81
HES5	0	0	0	0
AL139246.5	0	0	0	0
TNFRSF14-AS1	0	0	0	2
TNFRSF14	29	0	111	93
AL139246.2	0	0	0	0
AL139246.3	0	0	2	0
FAM213B	45	0	61	84
MMEL1	0	0	0	0
AL831784.1	0	0	0	0
TTC34	0	0	6	0
AC242022.1	0	0	0	0
AL592464.2	0	0	0	0
AL592464.1	0	0	0	0
AL589702.1	0	0	0	0
ACTRT2	0	0	0	0
LINC00982	0	0	2	2
PRDM16	3	0	13	8
MIR4251	0	0	0	0
AL008733.1	0	0	0	0
AL512383.1	0	0	0	0
AL590438.1	0	0	2	0
ARHGEF16	0	0	0	0
AL512413.1	0	0	0	0
MEGF6	93	0	68	53
MIR551A	0	0	0	0
AL513320.1	0	0	0	2
TPRG1L	254	0	320	214
WRAP73	34	0	57	65
TP73	0	0	0	0
AL136528.1	0	0	0	0
AL136528.2	0	0	0	0
TP73-AS1	95	0	185	101
RF02197	0	0	0	0
CCDC27	0	0	1	2
SMIM1	0	0	10	2
LRRC47	97	0	122	127
RN7SL574P	0	0	3	0
AL365330.1	0	0	1	1
CEP104	86	0	114	114
DFFB	13	0	15	24
C1orf174	45	0	66	54
LINC01134	0	0	3	1
LINC01346	0	0	0	0
LINC01345	0	0	0	0
AL805961.1	0	0	0	0
AL805961.2	1	0	1	1
EEF1DP6	0	0	0	0
LINC01777	0	0	0	0
AL355602.1	0	0	0	0
Z98747.1	0	0	0	0
LINC01646	0	0	0	0
AJAP1	0	0	0	0
BX005132.2	0	0	0	0
BX005132.1	0	0	0	0
AL691497.1	0	0	0	0
AL139823.1	0	0	0	0
Z98259.3	0	0	0	0
Z98259.2	0	0	0	0
Z98259.1	0	0	0	0
Z97988.1	0	0	0	0
AL365255.1	0	0	0	0
MIR4417	0	0	0	0
MIR4689	0	0	0	0
NPHP4	11	0	65	58
KCNAB2	31	0	33	41
CHD5	0	0	6	0
RPL22	1141	0	1900	1677
AL031847.1	0	0	2	0
RNF207	10	0	9	3
ICMT	377	0	491	0
LINC00337	0	0	0	0
HES3	0	0	0	0
GPR153	41	0	168	0
ACOT7	73	0	34	0
AL031848.2	0	0	0	0
HES2	1	1	2	0
ESPN	0	0	0	0
MIR4252	0	0	0	0
AL031848.1	0	0	0	0
TNFRSF25	3	0	0	1
PLEKHG5	6	0	0	0
NOL9	32	0	2	1
RNU6-731P	0	0	0	0
AL591866.1	1	0	0	0
TAS1R1	0	0	0	0
ZBTB48	33	0	0	0
KLHL21	399	0	3	2
PHF13	97	0	0	0
THAP3	21	0	0	0
DNAJC11	77	0	0	0
LINC01672	0	0	0	0
AL591163.1	3	0	0	1
CAMTA1-DT	0	0	0	0
CAMTA1	25	0	0	0
AL590128.1	0	0	0	0
AL512330.1	0	0	0	0
RNU1-8P	0	0	0	0
