Geneid	SRR1039508	SRR1039509	SRR1039513	SRR1039512
DDX11L1	1	0	1	1
WASH7P	14	15	18	39
MIR6859-1	1	0	0	0
MIR1302-2HG	2	2	1	2
MIR1302-2	0	0	0	0
FAM138A	0	0	0	2
OR4G4P	0	0	0	0
OR4G11P	0	0	0	0
OR4F5	0	0	0	0
AL627309.1	0	1	1	4
AL627309.3	0	0	0	0
CICP27	0	0	0	0
AL627309.6	0	0	0	1
AL627309.7	0	0	0	0
AL627309.2	0	0	0	0
AL627309.5	2	0	0	2
RNU6-1100P	0	0	0	0
AL627309.4	0	0	0	0
FO538757.2	0	1	0	0
FO538757.1	32	28	26	35
MIR6859-2	0	0	0	0
AP006222.1	61	28	15	51
RPL23AP24	5	5	0	1
AL732372.1	1	0	0	0
AL732372.2	0	1	1	4
WBP1LP7	0	0	0	0
OR4F29	0	0	0	0
CICP7	0	0	0	0
AL732372.3	1	0	1	0
RF00026	0	0	0	0
AL669831.3	0	1	0	0
AC114498.1	0	0	0	0
MTND1P23	532	653	633	787
MTND2P28	2262	2271	2428	3142
MTCO1P12	15439	15536	12580	19362
MIR6723	0	0	0	0
MTCO2P12	1674	2230	2536	3886
MTATP8P1	376	411	424	620
MTATP6P1	3859	4073	3964	5394
MTCO3P12	3139	3484	2791	2970
WBP1LP6	0	0	0	0
OR4F16	0	0	0	0
CICP3	0	1	0	0
AL669831.1	8	7	7	7
RNU6-1199P	0	0	0	0
AL669831.2	1	0	0	0
AL669831.5	11	13	7	0
AL669831.7	0	0	0	0
AL669831.4	4	1	0	0
FAM87B	0	0	0	0
LINC01128	22	25	23	0
LINC00115	5	0	5	0
FAM41C	1	0	0	0
TUBB8P11	6	2	1	0
AL669831.6	0	0	0	0
AL645608.7	0	0	0	0
AL645608.3	1	0	0	0
AL645608.5	0	0	0	0
AL645608.1	3	0	0	0
SAMD11	17	4	0	0
NOC2L	92	102	55	1
KLHL17	38	20	10	0
PLEKHN1	2	1	0	0
PERM1	0	0	0	0
AL645608.8	0	0	0	0
HES4	4	5	0	0
ISG15	29	26	7	0
AL645608.4	29	27	18	0
AL645608.2	1	0	0	0
AGRN	219	149	87	0
AL645608.6	0	0	0	0
AL390719.1	0	1	0	0
AL645608.9	0	0	0	0
RNF223	0	0	0	0
C1orf159	15	6	7	0
LINC01342	0	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
AL390719.2	0	0	0	0
TTLL10-AS1	0	0	0	0
TTLL10	0	0	0	0
TNFRSF18	0	0	0	0
TNFRSF4	0	0	0	0
SDF4	404	426	270	0
B3GALT6	43	41	16	0
C1QTNF12	2	0	0	0
AL162741.1	0	0	2	0
UBE2J2	54	48	41	0
LINC01786	1	0	0	0
SCNN1D	12	6	8	0
ACAP3	164	112	43	0
MIR6726	0	0	0	0
PUSL1	16	13	7	0
INTS11	129	98	58	0
MIR6727	0	0	0	0
AL139287.1	1	3	3	0
CPTP	35	25	24	0
TAS1R3	3	0	0	0
DVL1	104	107	58	0
MIR6808	0	0	0	0
MXRA8	1046	994	689	0
AURKAIP1	74	64	36	0
NDUFB4P8	0	0	0	0
CCNL2	395	405	283	0
AL391244.1	19	26	12	0
MRPL20	43	54	33	0
RN7SL657P	0	0	0	0
AL391244.3	13	7	14	0
ANKRD65	4	8	1	0
AL391244.2	0	0	0	0
TMEM88B	0	0	0	0
LINC01770	0	0	0	0
VWA1	15	10	4	0
ATAD3C	1	1	1	0
ATAD3B	24	20	17	0
AL645728.2	0	2	0	0
ATAD3A	16	26	16	0
TMEM240	7	6	4	0
SSU72	165	176	133	0
AL645728.1	0	0	1	0
AL691432.3	0	0	0	0
FNDC10	18	11	2	0
AL691432.2	7	0	7	0
MIB2	106	81	31	0
MMP23B	0	2	0	0
CDK11B	57	53	37	0
FO704657.1	0	0	0	0
SLC35E2B	139	96	77	0
AL691432.1	2	5	0	0
MMP23A	0	0	0	0
CDK11A	3	5	0	0
AL031282.2	3	3	2	0
AL031282.1	0	0	1	0
SLC35E2A	61	32	8	0
NADK	98	146	97	0
GNB1	684	590	514	0
AL109917.1	0	0	1	0
CALML6	1	2	3	0
TMEM52	0	0	0	0
CFAP74	1	2	1	0
AL391845.2	0	0	0	0
