"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"WASH7P",20.489578617622,0.674281844124343,2.19182987112597,0.307634206927729,0.758360688306663,0.877653380849284,"FALSE"
"FO538757.1",30.2696825330509,-0.234283358238424,2.24258248068622,-0.104470341785037,0.916796103293236,0.94820623661497,"FALSE"
"AP006222.1",38.5890337470543,-0.777846466111861,2.35430895995523,-0.33039268819104,0.741103265622272,0.867427685898796,"FALSE"
"RPL23AP24",2.92487554973766,-3.61317022811842,3.54721736015084,-1.01859284652486,0.308396301786175,0.808352059088733,"FALSE"
"MTND1P23",647.857267357105,0.0143687030422328,0.947759272454905,0.0151607095386307,0.987903967303119,0.987903967303119,"FALSE"
"MTND2P28",2508.25943006204,0.0444271288408541,0.251572353843518,0.176597818329785,0.859824307871976,0.932230565376984,"FALSE"
"MTCO1P12",15654.4190440064,-0.225296666181342,0.109121848416595,-2.06463388817632,0.0389576542879431,0.33237513937767,"FALSE"
"MTCO2P12",2512.60128225742,0.451810648427237,0.270832799796669,1.66822721903122,0.0952706295183059,0.516467096862395,"FALSE"
"MTATP8P1",450.942262548306,0.143785930014479,1.44229661899926,0.0996923435307259,0.920588579237835,0.94820623661497,"FALSE"
"MTATP6P1",4292.01410553004,-0.0186432665633504,0.177984725457643,-0.104746441108438,0.916577009951977,0.94820623661497,"FALSE"
"MTCO3P12",3137.78339969885,-0.433669759101411,0.230087584129156,-1.88480295772055,0.059456445504211,0.382750867933358,"FALSE"
"AL669831.1",7.3484782442535,-0.329625604155645,2.27683630528321,-0.144773519023206,0.88488969068132,0.94820623661497,"FALSE"
"AL669831.5",8.3826659027703,-1.83260426229062,2.58138258161033,-0.709931288506409,0.477746746629859,0.81831451603104,"FALSE"
"LINC01128",18.8794259676206,-1.07564138710331,2.61720735977561,-0.410988217301792,0.681081174530749,0.825310129137261,"FALSE"
"LINC00115",2.70619008364729,-0.0710781707806551,4.00151042453756,-0.0177628353395754,0.985828053181862,0.987903967303119,"FALSE"
"SAMD11",5.77416666873503,-6.08893941651586,3.12502796979062,-1.94844317406984,0.0513619580790081,0.352685445475856,"FALSE"
"NOC2L",67.5668705709294,-1.8406905180083,2.78667647148108,-0.660532550816709,0.508912136850485,0.81831451603104,"FALSE"
"KLHL17",18.5211376553539,-2.59491217046151,2.57558203837168,-1.00750515099184,0.313692083644427,0.808352059088733,"FALSE"
"ISG15",16.8480527406909,-3.03229411738949,2.54230736471887,-1.19273308942516,0.232973922171195,0.749884811988532,"FALSE"
"AL645608.4",20.028165981405,-1.68548418878396,2.60823909834609,-0.646215368005465,0.518139888232442,0.81831451603104,"FALSE"
